X,Y,probability
606500,4437500,0
606500,4438000,0
606500,4438500,0
606500,4439000,0
606500,4439500,0
606500,4440000,0
606500,4440500,0
606500,4441000,0
606500,4441500,0
606500,4442000,0
606500,4442500,0
606500,4443000,0
606500,4443500,0
606500,4444000,0
607000,4413000,0
607000,4413500,0
607000,4414000,0
607000,4414500,0
607000,4415000,0
607000,4415500,0
607000,4416000,0
607000,4416500,0.9
607000,4417000,0.9
607000,4417500,0.9
607000,4418000,0.9
607000,4418500,0.9
607000,4419000,0.9
607000,4419500,0.9
607000,4420000,0.9
607000,4420500,0.9
607000,4421000,0.8
607000,4421500,0.8
607000,4422000,0.8
607000,4422500,0.8
607000,4423000,0.8
607000,4423500,0.8
607000,4424000,0.8
607000,4424500,0.8
